구이름,동이름,공영민영개수총합계,공영민영면적총합계,공영개수,공영면수,민영개수,민영면수,노상총개수,노상총면수,노상시영개수,노상시영면수,노상구영개수,노상구영면수,노외총합개수,노외총합면수,노외시영개수,노외시영면수,노외구영개수,노외국영면수,노외민영개수,노외민영면수,건축물총개수,건축물총면적,일반주택개수,일반주택면적,공동주택개수,공동주택면적,일반건축물개수,일반건축물면적
은평구,증산동,686,8679,11,365,675,8314,9,291,-,-,9,291,4,85,-,-,2,74,2,11,673,8303,336,581,215,4927,122,2795
은평구,수색동,262,6420,5,151,257,6269,4,40,-,-,4,40,4,295,-,-,1,111,3,184,254,6085,52,122,53,3510,149,2453
은평구,진관동,398,31613,2,562,396,31051,-,-,-,-,-,-,10,668,1,399,1,163,8,106,388,30945,146,170,51,22939,191,7836
은평구,불광2동,1706,7884,10,498,1696,7386,6,128,-,-,6,128,6,405,-,-,4,370,2,35,1694,7351,894,1672,573,4324,227,1355
은평구,응암3동,1124,6041,13,566,1111,5475,11,326,-,-,11,326,7,378,-,-,2,240,5,138,1106,5337,425,807,397,2785,284,1745
은평구,역촌동,2535,15275,16,524,2519,14751,14,428,1,14,13,414,4,138,-,-,2,96,2,42,2517,14709,872,2017,1170,9913,475,2779
서대문구,소계,10496,132942,755,5899,9741,127043,671,4236,1,7,670,4229,105,2045,1,27,83,1636,21,382,9720,126661,4986,11998,2600,67010,2134,47653
서대문구,천연동,236,5189,16,119,220,5070,13,72,-,-,13,72,4,63,-,-,3,47,1,16,219,5054,128,515,45,4037,46,502
서대문구,홍제1동,620,8056,61,460,559,7596,58,351,-,-,58,351,5,201,-,-,3,109,2,92,557,7504,242,467,216,5021,99,2016
서대문구,홍제3동,456,4303,39,332,417,3971,32,256,-,-,32,256,7,76,-,-,7,76,-,-,417,3971,229,337,87,2673,101,961
서대문구,홍제2동,205,5968,12,61,193,5907,10,32,-,-,10,32,3,42,-,-,2,29,1,13,192,5894,85,231,50,5334,57,329
서대문구,홍은1동,375,6636,58,536,317,6100,45,266,-,-,45,266,17,310,-,-,13,270,4,40,313,6060,148,267,85,5412,80,381
서대문구,홍은2동,1269,10590,53,355,1216,10235,47,231,-,-,47,231,6,124,-,-,6,124,-,-,1216,10235,606,1175,449,5927,161,3133
서대문구,남가좌1동,48,5014,8,82,40,4932,7,50,-,-,7,50,3,74,-,-,1,32,2,42,38,4890,10,13,14,4077,14,800
서대문구,남가좌2동,1169,16266,47,596,1122,15670,40,393,-,-,40,393,8,209,-,-,7,203,1,6,1121,15664,439,872,459,11651,223,3141
서대문구,북가좌1동,314,12845,26,229,288,12616,25,227,-,-,25,227,1,2,-,-,1,2,-,-,288,12616,146,325,94,6723,48,5568
서대문구,북가좌2동,1277,6621,115,358,1162,6263,110,330,1,7,109,323,5,28,-,-,5,28,-,-,1162,6263,701,1578,357,3380,104,1305
서대문구,충현동,812,11582,55,460,757,11122,46,260,-,-,46,260,12,233,1,27,8,173,3,33,754,11089,350,745,120,3463,284,6881
서대문구,북아현동,196,5803,16,236,180,5567,14,81,-,-,14,81,4,177,-,-,2,155,2,22,178,5545,147,1121,19,2010,12,2414
서대문구,신촌동,1111,19409,47,362,1064,19047,43,295,-,-,43,295,8,176,-,-,4,67,4,109,1060,18938,458,1765,125,1326,477,15847
서대문구,연희동,2408,14660,202,1713,2206,12947,181,1392,-,-,181,1392,22,330,-,-,21,321,1,9,2205,12938,1297,2587,480,5976,428,4375
마포구,소계,13162,199423,51,6828,13111,192595,29,4237,-,-,29,4237,62,4084,2,523,20,2068,40,1493,13071,191102,4141,11422,3975,97000,4955,82680
마포구,용강동,1028,7173,8,741,1020,6432,4,320,-,-,4,320,5,427,-,-,4,421,1,6,1019,6426,330,836,443,3570,246,2020
마포구,대흥동,821,7158,4,365,817,6793,1,266,-,-,1,266,3,99,1,20,2,79,-,-,817,6793,256,692,342,4492,219,1609
마포구,염리동,436,31057,2,286,434,30771,1,74,-,-,1,74,2,308,-,-,1,212,1,96,433,30675,179,542,74,9439,180,20694
마포구,신수동,883,12720,1,174,882,12546,1,174,-,-,1,174,1,13,-,-,-,-,1,13,881,12533,269,719,274,8437,338,3377
마포구,서교동,1283,8126,2,535,1281,7591,1,343,-,-,1,343,2,219,-,-,1,192,1,27,1280,7564,410,1121,520,4021,350,2422
마포구,합정동,662,16770,2,414,660,16356,1,356,-,-,1,356,1,58,-,-,1,58,-,-,660,16356,242,635,232,6213,186,9508
마포구,망원1동,609,9530,2,254,607,9276,1,156,-,-,1,156,1,98,-,-,1,98,-,-,607,9276,225,565,182,6745,200,1966
마포구,망원2동,128,14095,1,46,127,14049,1,46,-,-,1,46,3,21,-,-,-,-,3,21,124,14028,27,55,26,9492,71,4481
마포구,연남동,1246,6893,2,448,1244,6445,2,448,-,-,2,448,-,-,-,-,-,-,-,-,1244,6445,514,1531,366,3289,364,1625
마포구,성산1동,247,5631,4,432,243,5199,1,71,-,-,1,71,5,391,-,-,3,361,2,30,241,5169,68,154,101,3834,72,1181
마포구,성산2동,377,13274,3,697,374,12577,2,194,-,-,2,194,4,712,1,503,-,-,3,209,371,12368,78,240,109,7522,184,4606
마포구,상암동,1206,10849,4,670,1202,10179,3,542,-,-,3,542,5,231,-,-,1,128,4,103,1198,10076,319,765,486,5482,393,3829
마포구,도화동,297,9631,2,154,295,9477,1,91,-,-,1,91,3,323,-,-,1,63,2,260,293,9217,117,271,74,6056,102,2890
마포구,서강동,2842,24674,8,845,2834,23829,7,821,-,-,7,821,16,579,-,-,1,24,15,555,2819,23274,746,2418,472,6242,1601,14614
마포구,공덕동,614,14702,3,429,611,14273,1,293,-,-,1,293,4,173,-,-,2,136,2,37,609,14236,226,568,173,8657,210,5011
마포구,아현동,483,7140,3,338,480,6802,1,42,-,-,1,42,7,432,-,-,2,296,5,136,475,6666,135,310,101,3509,239,2847
양천구,소계,11017,166327,498,7454,10519,158873,442,2762,-,-,442,2762,65,5281,4,228,52,4464,9,589,10510,158284,3238,7373,4407,114151,2865,36760
양천구,목1동,261,22653,15,1819,246,20834,9,119,-,-,9,119,6,1700,-,-,6,1700,-,-,246,20834,40,67,50,11921,156,8846
양천구,목2동,1270,10032,30,271,1240,9761,26,138,-,-,26,138,5,156,-,-,4,133,1,23,1239,9738,349,918,706,7563,184,1257
양천구,목3동,895,8357,10,302,885,8055,6,45,-,-,6,45,5,275,-,-,4,257,1,18,884,8037,289,772,410,5809,185,1456
양천구,목4동,1089,8332,28,151,1061,8181,27,127,-,-,27,127,2,49,-,-,1,24,1,25,1060,8156,345,779,457,6107,258,1270
양천구,신월1동,1167,7001,83,1105,1084,5896,78,472,-,-,78,472,5,633,-,-,5,633,-,-,1084,5896,474,865,330,3465,280,1566
양천구,신월2동,593,7271,57,318,536,6953,55,241,-,-,55,241,2,77,-,-,2,77,-,-,536,6953,121,339,267,5664,148,950
양천구,신월3동,535,3881,30,617,505,3264,24,134,-,-,24,134,7,648,-,-,6,483,1,165,504,3099,207,343,175,1646,122,1110
양천구,신월4동,468,6355,27,155,441,6200,26,109,-,-,26,109,2,88,1,46,-,-,1,42,440,6158,102,291,238,5134,100,733
양천구,신월5동,650,5523,39,219,611,5304,39,219,-,-,39,219,1,253,-,-,-,-,1,253,610,5051,212,474,241,3142,157,1435
양천구,신월6동,190,6096,12,82,178,6014,10,46,-,-,10,46,3,71,-,-,2,36,1,35,177,5979,10,19,98,5389,69,571
양천구,신월7동,587,4182,4,294,583,3888,-,-,-,-,-,-,4,294,-,-,4,294,-,-,583,3888,32,101,376,2635,175,1152
양천구,신정1동,215,6045,3,179,212,5866,2,161,-,-,2,161,1,18,-,-,1,18,-,-,212,5866,56,96,40,4592,116,1178
양천구,신정2동,284,6507,23,193,261,6314,23,193,-,-,23,193,-,-,-,-,-,-,-,-,261,6314,55,102,63,5188,143,1024
양천구,신정3동,541,19107,26,346,515,18761,24,160,-,-,24,160,2,186,-,-,2,186,-,-,515,18761,216,428,166,16246,133,2087
양천구,신정6동,47,9010,6,326,41,8684,3,125,-,-,3,125,3,201,-,-,3,201,-,-,41,8684,4,24,7,5557,30,3103
양천구,신정7동,118,9316,8,263,110,9053,1,17,-,-,1,17,7,246,-,-,7,246,-,-,110,9053,18,62,28,7770,64,1221
양천구,목5동,62,13789,8,289,54,13500,3,59,-,-,3,59,5,230,2,103,3,127,-,-,54,13500,-,-,13,9626,41,3874
양천구,신정4동,2045,12870,89,525,1956,12345,86,397,-,-,86,397,5,156,1,79,2,49,2,28,1954,12317,708,1693,742,6697,504,3927
강서구,소계,17639,315812,665,8895,16974,306917,631,4390,1,59,630,4331,59,5606,10,1340,24,3165,25,1101,16949,305816,4747,12572,7401,151155,4801,142089
강서구,염창동,421,20668,15,125,406,20543,15,125,-,-,15,125,-,-,-,-,-,-,-,-,406,20543,23,118,153,12299,230,8126
강서구,등촌1동,473,13600,15,214,458,13386,14,203,-,-,14,203,1,11,-,-,1,11,-,-,458,13386,71,236,141,4259,246,8891
강서구,등촌2동,759,9611,38,254,721,9357,37,144,-,-,37,144,1,110,-,-,1,110,-,-,721,9357,241,758,349,6913,131,1686
강서구,등촌3동,233,17670,12,150,221,17520,12,150,-,-,12,150,3,176,-,-,-,-,3,176,218,17344,6,39,34,7802,178,9503
강서구,화곡본동,1877,12732,38,537,1839,12195,35,109,-,-,35,109,4,443,-,-,3,428,1,15,1838,12180,401,1021,1156,8460,281,2699
강서구,화곡2동,1052,6412,45,513,1007,5899,44,454,-,-,44,454,1,59,-,-,1,59,-,-,1007,5899,281,595,557,4199,169,1105
강서구,화곡3동,785,9879,40,304,745,9575,39,205,-,-,39,205,2,129,-,-,1,99,1,30,744,9545,282,683,287,7262,175,1600
강서구,화곡4동,1296,8090,54,376,1242,7714,53,238,-,-,53,238,2,156,-,-,1,138,1,18,1241,7696,458,1062,535,4993,248,1641
강서구,화곡6동,1104,14487,55,704,1049,13783,53,374,-,-,53,374,4,382,-,-,2,330,2,52,1047,13731,282,753,412,7325,353,5653
강서구,화곡8동,1303,8322,35,521,1268,7801,32,112,-,-,32,112,4,421,-,-,3,409,1,12,1267,7789,298,771,767,5753,202,1265
강서구,가양1동,500,49535,14,755,486,48780,11,115,-,-,11,115,5,1096,1,38,2,602,2,456,484,48324,41,179,88,11408,355,36737
강서구,가양2동,44,5314,7,200,37,5114,6,121,-,-,6,121,1,79,1,79,-,-,-,-,37,5114,-,-,7,3278,30,1836
강서구,가양3동,40,5567,3,132,37,5435,2,76,-,-,2,76,1,56,1,56,-,-,-,-,37,5435,-,-,10,3012,27,2423
강서구,발산1동,742,29360,36,382,706,28978,35,182,-,-,35,182,2,204,-,-,1,200,1,4,705,28974,125,352,307,9575,273,19047
강서구,공항동,1376,25818,55,390,1321,25428,54,379,-,-,54,379,4,70,1,11,-,-,3,59,1318,25369,693,2068,334,6291,291,17010
강서구,방화1동,1013,14206,37,449,976,13757,36,250,1,59,35,191,5,384,1,199,-,-,4,185,972,13572,302,854,296,9325,374,3393
강서구,방화2동,1018,15923,42,1070,976,14853,39,248,-,-,39,248,7,895,3,822,-,-,4,73,972,14780,356,744,300,4801,316,9235
강서구,방화3동,250,8603,18,293,232,8310,15,140,-,-,15,140,3,153,2,135,1,18,-,-,232,8310,85,222,79,6173,68,1915
강서구,화곡1동,2458,20220,64,1229,2394,18991,60,534,-,-,60,534,5,705,-,-,4,695,1,10,2393,18981,541,1328,1213,12445,639,5208
강서구,우장산동,895,19795,42,297,853,19498,39,231,-,-,39,231,4,77,-,-,3,66,1,11,852,19487,261,789,376,15582,215,3116
구로구,소계,9692,191823,277,5149,9415,186674,243,2663,5,149,238,2514,70,3470,4,583,30,1903,36,984,9379,185690,3631,7473,2707,104569,3041,73648
구로구,신도림동,218,20948,11,148,207,20800,11,148,-,-,11,148,1,52,-,-,-,-,1,52,206,20748,46,99,40,14482,120,6167
구로구,구로1동,63,7000,9,136,54,6864,9,136,-,-,9,136,-,-,-,-,-,-,-,-,54,6864,-,-,20,5161,34,1703
구로구,구로3동,385,24482,2,122,383,24360,1,11,-,-,1,11,2,176,1,91,-,20,1,65,382,24295,22,92,54,2850,306,21353
구로구,구로4동,243,5048,18,792,225,4256,15,210,1,35,14,175,6,737,2,164,1,418,3,155,222,4101,50,140,36,2600,136,1361
구로구,구로5동,837,18865,33,824,804,18041,31,423,1,16,30,407,5,489,-,-,2,401,3,88,801,17953,451,802,99,9233,251,7918
구로구,고척1동,479,12075,12,167,467,11908,9,72,-,-,9,72,4,151,-,-,3,95,1,56,466,11852,185,364,95,5355,186,6133
구로구,고척2동,1156,9547,25,438,1131,9109,20,159,-,-,20,159,5,279,-,-,5,279,-,-,1131,9109,718,1510,195,6269,218,1330
구로구,개봉2동,845,10265,14,102,831,10163,11,71,-,-,11,71,7,85,-,-,3,31,4,54,827,10109,313,550,378,8879,136,680
구로구,개봉3동,918,8032,23,295,895,7737,21,295,-,-,21,295,2,-,-,-,2,-,-,-,895,7737,374,865,374,5894,147,978
구로구,오류1동,559,8300,8,121,551,8179,4,8,-,-,4,8,10,243,-,-,4,113,6,130,545,8049,178,344,190,4379,177,3326
구로구,수궁동,778,9864,16,260,762,9604,14,219,2,80,12,139,5,77,-,-,2,41,3,36,759,9568,127,330,388,6385,244,2853
구로구,가리봉동,357,2620,7,266,350,2354,4,59,-,-,4,59,7,324,-,-,3,207,4,117,346,2237,103,211,90,835,153,1191
구로구,구로2동,1152,16305,33,479,1119,15826,29,371,1,18,28,353,8,169,-,-,4,108,4,61,1115,15765,529,964,221,3560,365,11241
구로구,개봉1동,1014,12330,57,587,957,11743,56,397,-,-,56,397,1,190,-,-,1,190,-,-,957,11743,355,769,303,9248,299,1726
구로구,오류2동,579,17390,9,412,570,16978,8,84,-,-,8,84,7,498,1,328,-,-,6,170,564,16808,176,421,182,12841,206,3546
구로구,항동,109,8752,-,-,109,8752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,8752,4,12,42,6598,63,2142
금천구,소계,9209,139148,69,3715,9140,135433,19,2006,2,58,17,1948,63,2047,1,128,49,1581,13,338,9127,135095,4121,8827,2684,53485,2322,72783
금천구,가산동,806,53019,8,685,798,52334,5,322,1,37,4,285,5,494,-,-,3,363,2,131,796,52203,107,218,306,7923,383,44062
금천구,독산1동,1012,26177,8,439,1004,25738,6,368,1,21,5,347,3,80,-,-,2,71,1,9,1003,25729,210,508,286,14148,507,11073
금천구,독산2동,1152,5346,7,349,1145,4997,1,188,-,-,1,188,7,167,-,-,6,161,1,6,1144,4991,650,1317,321,2466,173,1208
금천구,독산3동,1387,9885,7,419,1380,9466,1,252,-,-,1,252,9,240,-,-,6,167,3,73,1377,9393,655,1519,434,4981,288,2893
금천구,독산4동,1114,5312,5,300,1109,5012,1,191,-,-,1,191,7,197,-,-,4,109,3,88,1106,4924,654,1393,268,2187,184,1344
금천구,시흥1동,1317,14115,5,307,1312,13808,1,186,-,-,1,186,5,132,-,-,4,121,1,11,1311,13797,660,1380,301,6935,350,5482
금천구,시흥2동,112,7585,3,73,109,7512,1,15,-,-,1,15,2,58,-,-,2,58,-,-,109,7512,42,56,26,5344,41,2112
금천구,시흥3동,517,6325,2,132,515,6193,1,88,-,-,1,88,2,59,-,-,1,44,1,15,514,6178,175,641,209,2778,130,2759
금천구,시흥4동,940,6300,13,672,927,5628,1,204,-,-,1,204,12,468,1,128,11,340,-,-,927,5628,531,1070,290,3715,106,843
금천구,시흥5동,852,5084,11,339,841,4745,1,192,-,-,1,192,11,152,-,-,10,147,1,5,840,4740,437,725,243,3008,160,1007
영등포구,소계,10105,203359,1987,9481,8118,193878,1954,5386,9,233,1945,5153,52,4911,3,943,30,3152,19,816,8099,193062,3880,8672,1555,80793,2664,103597
영등포구,여의동,263,50360,31,937,232,49423,31,937,3,145,28,792,-,-,-,-,-,-,-,-,232,49423,-,-,26,10912,206,38511
영등포구,당산1동,448,10582,144,1056,304,9526,138,275,-,-,138,275,7,865,2,373,4,408,1,84,303,9442,43,171,39,4174,221,5097
영등포구,당산2동,424,15902,78,203,346,15699,77,172,1,23,76,149,2,115,-,-,1,31,1,84,345,15615,64,293,90,10205,191,5117
영등포구,양평1동,372,10939,109,754,263,10185,108,357,-,-,108,357,1,397,-,-,1,397,-,-,263,10185,44,332,36,2878,183,6975
영등포구,양평2동,426,11720,59,449,367,11271,58,356,1,6,57,350,1,93,-,-,1,93,-,-,367,11271,69,271,132,5752,166,5248
영등포구,신길1동,797,6205,84,363,713,5842,82,205,-,-,82,205,2,158,-,-,2,158,-,-,713,5842,453,1000,141,2815,119,2027
영등포구,신길3동,336,5215,97,262,239,4953,96,117,-,-,96,117,1,145,-,-,1,145,-,-,239,4953,129,300,38,3594,72,1059
영등포구,신길4동,179,2932,48,208,131,2724,46,55,-,-,46,55,2,153,-,-,2,153,-,-,131,2724,75,175,28,2168,28,381
영등포구,신길5동,562,2592,125,357,437,2235,124,331,-,-,124,331,1,26,-,-,1,26,-,-,437,2235,316,551,71,1097,50,587
영등포구,신길6동,566,8537,55,299,511,8238,54,170,-,-,54,170,2,143,-,-,1,129,1,14,510,8224,198,460,181,3249,131,4515
영등포구,신길7동,245,6197,70,144,175,6053,69,127,1,20,68,107,1,17,-,-,1,17,-,-,175,6053,89,252,30,4036,56,1765
영등포구,대림1동,879,5788,31,401,848,5387,29,48,-,-,29,48,2,353,-,-,2,353,-,-,848,5387,643,1246,94,2806,111,1335
영등포구,대림2동,1202,4955,58,301,1144,4654,57,150,-,-,57,150,1,151,-,-,1,151,-,-,1144,4654,927,1617,111,2180,106,857
영등포구,대림3동,1350,8648,528,1067,822,7581,526,770,1,18,525,752,3,323,-,-,2,297,1,26,821,7555,400,1023,159,4501,262,2031
영등포구,영등포본동,402,7073,89,660,313,6413,86,307,-,-,86,307,6,416,-,-,3,353,3,63,310,6350,109,266,129,4024,72,2060
영등포구,영등포동,622,20184,107,1235,515,18949,102,343,1,10,101,333,16,1387,1,570,4,322,11,495,504,18454,27,125,69,4051,408,14278
영등포구,도림동,667,6339,108,240,559,6099,107,214,-,-,107,214,2,76,-,-,1,26,1,50,558,6049,291,577,143,3455,124,2017
영등포구,문래동,365,19191,166,545,199,18646,164,452,1,11,163,441,2,93,-,-,2,93,-,-,199,18646,3,13,38,8896,158,9737
동작구,소계,8769,137661,117,3336,8652,134325,81,2337,-,-,81,2337,67,1905,1,64,35,935,31,906,8621,133419,3894,9089,3080,97380,1647,26950
동작구,노량진2동,145,3051,4,241,141,2810,3,155,-,-,3,155,5,189,-,-,1,86,4,103,137,2707,54,136,38,308,45,2263
동작구,상도1동,991,16684,6,164,985,16520,5,146,-,-,5,146,1,18,-,-,1,18,-,-,985,16520,331,871,347,12742,307,2907
동작구,상도2동,428,13047,8,165,420,12882,7,160,-,-,7,160,5,148,-,-,1,5,4,143,416,12739,143,357,164,11128,109,1254
동작구,상도3동,956,6020,13,311,943,5709,6,138,-,-,6,138,10,256,-,-,7,173,3,83,940,5626,434,948,434,4158,72,520
동작구,상도4동,1187,7252,6,309,1181,6943,3,231,-,-,3,231,5,108,-,-,3,78,2,30,1179,6913,636,1339,476,5086,67,488
동작구,사당1동,1031,6402,6,186,1025,6216,5,181,-,-,5,181,3,48,-,-,1,5,2,43,1023,6173,512,1301,331,2904,180,1968
동작구,사당3동,319,8752,6,206,313,8546,5,191,-,-,5,191,2,27,-,-,1,15,1,12,312,8534,140,333,117,7235,55,966
동작구,사당4동,584,3804,6,261,578,3543,2,220,-,-,2,220,6,124,-,-,4,41,2,83,576,3460,301,626,234,2627,41,207
동작구,사당5동,326,5588,7,255,319,5333,6,209,-,-,6,209,1,46,-,-,1,46,-,-,319,5333,169,452,112,4672,38,209
동작구,대방동,743,11523,15,298,728,11225,12,244,-,-,12,244,7,195,-,-,3,54,4,141,724,11084,262,639,295,8114,167,2331
동작구,신대방1동,389,5897,6,201,383,5696,4,136,-,-,4,136,2,65,-,-,2,65,-,-,383,5696,239,475,88,4609,56,612
동작구,신대방2동,516,12756,9,238,507,12518,6,102,-,-,6,102,5,189,1,64,2,72,2,53,505,12465,268,649,162,7963,75,3853
동작구,흑석동,293,16126,9,148,284,15978,6,53,-,-,6,53,8,267,-,-,3,95,5,172,279,15806,123,339,87,11107,69,4360
동작구,노량진1동,450,11784,5,52,445,11732,4,48,-,-,4,48,3,47,-,-,1,4,2,43,443,11689,127,264,71,7495,245,3930
동작구,사당2동,411,8975,11,301,400,8674,7,123,-,-,7,123,4,178,-,-,4,178,-,-,400,8674,155,360,124,7232,121,1082
관악구,소계,20446,153960,59,6970,20387,146990,30,5292,1,62,29,5230,53,2346,2,91,27,1587,24,668,20363,146322,10602,23874,4697,80247,5064,42201
관악구,보라매동,1161,8659,3,414,1158,8245,1,133,-,-,1,133,3,300,-,-,2,281,1,19,1157,8226,663,1532,334,4787,160,1907
관악구,청림동,103,4182,1,65,102,4117,1,65,-,-,1,65,1,15,-,-,-,-,1,15,101,4102,50,118,29,3772,22,212
관악구,행운동,1199,8846,1,195,1198,8651,1,195,-,-,1,195,1,23,-,-,-,-,1,23,1197,8628,643,1502,258,4801,296,2325
관악구,낙성대동,848,7295,3,269,845,7026,2,263,-,-,2,263,2,71,-,-,1,6,1,65,844,6961,437,1047,133,2106,274,3808
관악구,중앙동,650,4599,2,203,648,4396,1,197,-,-,1,197,1,6,-,-,1,6,-,-,648,4396,318,690,164,1820,166,1886
관악구,인헌동,1181,6813,4,421,1177,6392,2,408,-,-,2,408,2,13,-,-,2,13,-,-,1177,6392,494,1251,430,3592,253,1549
관악구,남현동,821,7589,2,297,819,7292,1,271,-,-,1,271,2,89,-,-,1,26,1,63,818,7229,351,924,297,4018,170,2287
관악구,서원동,1196,6791,2,159,1194,6632,2,159,-,-,2,159,1,45,-,-,-,-,1,45,1193,6587,627,1617,358,2826,208,2144
관악구,신원동,1074,3668,2,215,1072,3453,2,215,-,-,2,215,2,45,-,-,-,-,2,45,1070,3408,732,1443,176,1237,162,728
관악구,서림동,1075,5825,1,220,1074,5605,1,220,-,-,1,220,-,-,-,-,-,-,-,-,1074,5605,513,1247,193,2251,368,2107
관악구,신사동,1856,6735,7,660,1849,6075,1,388,-,-,1,388,7,292,1,60,5,212,1,20,1848,6055,1345,2757,227,1789,276,1509
관악구,신림동,1069,6791,5,557,1064,6234,4,373,1,62,3,311,3,228,-,-,1,184,2,44,1062,6190,326,886,179,1614,557,3690
관악구,난향동,308,5626,1,171,307,5455,1,171,-,-,1,171,-,-,-,-,-,-,-,-,307,5455,205,296,66,4726,36,433
관악구,조원동,1074,7215,5,512,1069,6703,2,359,-,-,2,359,5,198,1,31,2,122,2,45,1067,6658,605,1390,166,2613,296,2655
관악구,대학동,1291,7680,1,200,1290,7480,1,200,-,-,1,200,1,18,-,-,-,-,1,18,1289,7462,511,1207,88,2080,690,4175
관악구,은천동,1058,11107,2,438,1056,10669,1,422,-,-,1,422,2,58,-,-,1,16,1,42,1055,10627,470,1107,350,7847,235,1673
관악구,성현동,374,11815,1,54,373,11761,1,54,-,-,1,54,2,46,-,-,-,-,2,46,371,11715,130,331,156,10597,85,787
관악구,청룡동,1218,10372,4,545,1214,9827,1,372,-,-,1,372,5,235,-,-,3,173,2,62,1212,9765,631,1426,207,3332,374,5007
관악구,난곡동,1165,6325,3,538,1162,5787,1,355,-,-,1,355,3,210,-,-,2,183,1,27,1161,5760,626,1294,421,3602,114,864
관악구,삼성동,449,5988,4,346,445,5642,2,110,-,-,2,110,4,284,-,-,2,236,2,48,443,5594,271,416,94,4549,78,629
관악구,미성동,1276,10039,5,491,1271,9548,1,362,-,-,1,362,6,170,-,-,4,129,2,41,1269,9507,654,1393,371,6288,244,1826
서초구,소계,14690,310949,769,7292,13921,303657,719,4556,1,47,718,4509,111,8444,1,183,49,2553,61,5708,13860,297949,3236,11798,2907,123559,7717,162592
서초구,서초1동,1130,20030,76,630,1054,19400,70,524,-,-,70,524,14,635,-,-,6,106,8,529,1046,18871,298,1036,141,7655,607,10180
서초구,서초2동,506,27793,16,175,490,27618,12,157,-,-,12,157,8,262,-,-,4,18,4,244,486,27374,75,265,59,6301,352,20808
서초구,서초3동,1651,36164,65,419,1586,35745,63,392,-,-,63,392,13,385,-,-,2,27,11,358,1575,35387,173,782,163,8900,1239,25705
서초구,서초4동,252,21017,2,4,250,21013,2,4,-,-,2,4,3,126,-,-,-,-,3,126,247,20887,18,85,21,14203,208,6599
서초구,잠원동,613,13664,26,249,587,13415,23,123,-,-,23,123,8,191,-,-,3,126,5,65,582,13350,136,544,81,6570,365,6236
서초구,반포본동,9,691,1,47,8,644,1,47,1,47,-,-,-,-,-,-,-,-,-,-,8,644,-,-,-,-,8,644
서초구,반포1동,830,17294,44,362,786,16932,39,154,-,-,39,154,7,239,-,-,5,208,2,31,784,16901,314,1369,163,9471,307,6061
서초구,반포2동,21,9473,1,164,20,9309,-,-,-,-,-,-,1,164,-,-,1,164,-,-,20,9309,-,-,5,5479,15,3830
서초구,반포3동,54,11136,2,10,52,11126,2,10,-,-,2,10,-,-,-,-,-,-,-,-,52,11126,3,38,15,3676,34,7412
서초구,반포4동,769,19332,39,526,730,18806,33,201,-,-,33,201,8,364,-,-,6,325,2,39,728,18767,107,487,313,7285,308,10995
서초구,방배본동,859,12483,48,520,811,11963,46,316,-,-,46,316,5,278,-,-,2,204,3,74,808,11889,226,838,204,6569,378,4482
서초구,방배1동,1003,9809,41,324,962,9485,38,165,-,-,38,165,6,244,-,-,3,159,3,85,959,9400,309,1091,228,4946,422,3363
서초구,방배2동,1162,10052,45,738,1117,9314,42,475,-,-,42,475,5,287,1,183,2,80,2,24,1115,9290,394,1121,192,3922,529,4247
서초구,방배3동,815,13608,39,266,776,13342,39,266,-,-,39,266,1,67,-,-,-,-,1,67,775,13275,94,288,179,7169,502,5818
서초구,방배4동,1357,13476,57,550,1300,12926,56,441,-,-,56,441,2,121,-,-,1,109,1,12,1299,12914,360,1120,320,7192,619,4602
서초구,양재1동,1455,31702,111,652,1344,31050,111,652,-,-,111,652,5,105,-,-,-,-,5,105,1339,30945,315,1131,309,15793,715,14021
서초구,양재2동,1683,32216,154,1588,1529,30628,142,629,-,-,142,629,22,4722,-,-,12,959,10,3763,1519,26865,229,1042,505,4343,785,21480
서초구,내곡동,521,11009,2,68,519,10941,-,-,-,-,-,-,3,254,-,-,2,68,1,186,518,10755,185,561,9,4085,324,6109
강남구,소계,20566,413898,160,13087,20406,400811,126,8242,4,95,122,8147,141,8283,5,918,29,3927,107,3438,20299,397373,5863,22107,4397,176570,10039,198696
강남구,신사동,1176,16304,8,1164,1168,15140,7,980,2,38,5,942,7,227,-,-,1,184,6,43,1162,15097,266,971,102,4958,794,9168
강남구,개포3동,29,6083,2,200,27,5883,1,38,-,-,1,38,1,162,-,-,1,162,-,-,27,5883,-,-,10,4408,17,1475
강남구,논현1동,2129,21536,4,896,2125,20640,2,622,-,-,2,622,16,710,-,-,2,274,14,436,2111,20204,690,3019,468,5562,953,11623
강남구,논현2동,2096,24924,6,798,2090,24126,6,798,-,-,6,798,3,248,-,-,-,-,3,248,2087,23878,632,2183,405,7191,1050,14504
강남구,삼성1동,795,20674,7,647,788,20027,6,581,-,-,6,581,14,772,-,-,1,66,13,706,775,19321,165,502,157,5589,453,13230
강남구,삼성2동,1161,24425,4,415,1157,24010,3,325,-,-,3,325,5,215,-,-,1,90,4,125,1153,23885,348,1410,347,15008,458,7467
강남구,대치1동,129,14116,4,88,125,14028,4,88,-,-,4,88,2,91,-,-,-,-,2,91,123,13937,19,54,24,11523,80,2360
강남구,대치4동,1300,16756,7,472,1293,16284,5,252,-,-,5,252,3,260,-,-,2,220,1,40,1292,16244,412,1730,404,5105,476,9409
