구이름,동이름,공영민영개수총합계,공영민영면적총합계,공영개수,공영면수,민영개수,민영면수,노상총개수,노상총면수,노상시영개수,노상시영면수,노상구영개수,노상구영면수,노외총합개수,노외총합면수,노외시영개수,노외시영면수,노외구영개수,노외국영면수,노외민영개수,노외민영면수,건축물총개수,건축물총면적,일반주택개수,일반주택면적,공동주택개수,공동주택면적,일반건축물개수,일반건축물면적
광진구,중곡4동,1891,8177,9,563,1882,7614,2,425,-,-,2,425,8,168,-,-,7,138,1,30,1881,7584,1003,2304,595,3865,283,1415
광진구,능동,929,6560,4,353,925,6207,1,249,-,-,1,249,4,118,-,-,3,104,1,14,924,6193,637,2128,154,1057,133,3008
광진구,구의1동,1648,8621,5,331,1643,8290,1,106,-,-,1,106,5,251,-,-,4,225,1,26,1642,8264,941,2256,404,3561,297,2447
광진구,구의2동,1407,8722,6,296,1401,8426,1,166,-,-,1,166,6,150,-,-,5,130,1,20,1400,8406,659,1653,537,5172,204,1581
광진구,구의3동,770,14788,5,370,765,14418,3,192,1,19,2,173,2,178,-,-,2,178,-,-,765,14418,299,837,267,8788,199,4793
광진구,광장동,364,16425,5,292,359,16133,1,203,-,-,1,203,4,89,-,-,4,89,-,-,359,16133,99,223,103,9870,157,6040
광진구,자양1동,1333,6870,2,92,1331,6778,1,68,-,-,1,68,5,108,-,-,1,24,4,84,1327,6694,699,1576,349,3185,279,1933
광진구,자양2동,1200,9499,5,734,1195,8765,1,412,-,-,1,412,7,394,-,-,4,322,3,72,1192,8693,611,1652,383,5028,198,2013
광진구,자양3동,435,14240,2,339,433,13901,2,339,-,-,2,339,-,-,-,-,-,-,-,-,433,13901,202,501,111,10023,120,3377
광진구,자양4동,883,5713,4,299,879,5414,1,161,-,-,1,161,6,208,-,-,3,138,3,70,876,5344,498,1074,154,2742,224,1528
동대문구,소계,10080,148103,603,5862,9477,142241,569,3733,1,103,568,3630,48,2409,3,233,31,1896,14,280,9463,141961,4074,9395,1750,81835,3639,50731
동대문구,회기동,598,6029,14,168,584,5861,13,68,-,-,13,68,2,110,-,-,1,100,1,10,583,5851,309,661,70,1352,204,3838
동대문구,휘경1동,388,6499,16,249,372,6250,15,202,-,-,15,202,1,47,-,-,1,47,-,-,372,6250,186,493,58,3991,128,1766
동대문구,휘경2동,836,11358,6,376,830,10982,2,4,-,-,2,4,5,380,-,-,4,372,1,8,829,10974,550,1114,152,5772,127,4088
동대문구,청량리동,456,8940,54,421,402,8519,51,326,-,-,51,326,3,95,-,-,3,95,-,-,402,8519,155,309,80,4836,167,3374
동대문구,용신동,1407,16812,95,728,1312,16084,92,606,1,103,91,503,6,207,1,79,2,43,3,85,1309,15999,475,1125,181,5636,653,9238
동대문구,제기동,978,9163,59,957,919,8206,57,618,-,-,57,618,4,361,-,-,2,339,2,22,917,8184,358,891,178,4771,381,2522
동대문구,전농1동,907,11320,101,622,806,10698,99,529,-,-,99,529,5,132,-,-,2,93,3,39,803,10659,366,702,173,5550,264,4407
동대문구,전농2동,233,7287,9,56,224,7231,8,36,-,-,8,36,1,20,-,-,1,20,-,-,224,7231,92,174,52,5340,80,1717
동대문구,답십리2동,444,9090,25,319,419,8771,21,170,-,-,21,170,4,149,-,-,4,149,-,-,419,8771,190,392,62,6644,167,1735
동대문구,장안1동,1323,19466,84,554,1239,18912,78,339,-,-,78,339,8,275,1,74,5,141,2,60,1237,18852,348,1019,316,10801,573,7032
동대문구,장안2동,1014,14889,56,513,958,14376,52,259,-,-,52,259,5,310,1,80,3,174,1,56,957,14320,349,1112,220,8921,388,4287
동대문구,이문1동,735,7147,27,275,708,6872,26,191,-,-,26,191,1,84,-,-,1,84,-,-,708,6872,377,841,98,3489,233,2542
동대문구,이문2동,294,6493,30,254,264,6239,29,208,-,-,29,208,2,46,-,-,1,46,1,-,263,6239,159,232,39,4970,65,1037
동대문구,답십리1동,467,13610,27,370,440,13240,26,177,-,-,26,177,1,193,-,-,1,193,-,-,440,13240,160,330,71,9762,209,3148
중랑구,소계,13251,132884,571,11179,12680,121705,519,6106,-,-,519,6106,80,6006,3,782,49,4291,28,933,12652,120772,4164,10299,3927,80089,4561,30384
중랑구,면목2동,833,6122,33,858,800,5264,28,353,-,-,28,353,5,505,1,129,4,376,-,-,800,5264,206,496,250,3291,344,1477
중랑구,면목4동,583,4786,35,694,548,4092,30,236,-,-,30,236,6,471,-,-,5,458,1,13,547,4079,233,539,150,2555,164,985
중랑구,면목5동,457,7247,27,1260,430,5987,23,243,-,-,23,243,4,1017,1,567,3,450,-,-,430,5987,146,322,147,4058,137,1607
중랑구,면목7동,648,6840,32,314,616,6526,30,208,-,-,30,208,3,157,-,-,2,106,1,51,615,6475,242,694,151,4567,222,1214
중랑구,상봉1동,508,9696,17,254,491,9442,16,176,-,-,16,176,2,264,-,-,1,78,1,186,490,9256,84,136,287,8123,119,997
중랑구,상봉2동,941,6796,36,485,905,6311,34,361,-,-,34,361,5,242,-,-,2,124,3,118,902,6193,240,816,251,2227,411,3150
중랑구,중화1동,1686,5636,35,573,1651,5063,31,263,-,-,31,263,5,310,-,-,4,310,1,-,1650,5063,162,396,373,3981,1115,686
중랑구,중화2동,900,6279,42,1269,858,5010,38,872,-,-,38,872,9,470,-,-,4,397,5,73,853,4937,204,304,432,3519,217,1114
중랑구,묵1동,1133,15177,46,923,1087,14254,40,480,-,-,40,480,6,443,-,-,6,443,-,-,1087,14254,492,1205,394,11384,201,1665
중랑구,묵2동,867,6276,22,673,845,5603,22,673,-,-,22,673,-,-,-,-,-,-,-,-,845,5603,393,801,257,3723,195,1079
